sample_number,species,collector,collection,country,dna_concentration,library_id,filename_root
1,S_paralias,Demuner,4839,Brazil,92.0,S-1,PREP0024_RAsprSUB09764A_B10v1_S-1
2,S_paralias,Machado,76247,Brazil,1.4,S-2,PREP0025_RAsprSUB09764A_E05v1_S-2
3,S_paralias,Amorim et al.,1533,Brazil,11.2,S-3,PREP0023_RAsprSUB09764A_A05v1_S-3
4,S_paralias,Andrade,321,Brazil,45.2,S-4,PREP0024_RAsprSUB09764A_G07v1_S-4
5,S_paralias,Anderson,13695,Brazil,1.36,S-5,PREP0025_RAsprSUB09764A_G05v1_S-5
6,S_paralias,Harley,27091,Brazil,40.6,S-6,PREP0024_RAsprSUB09764A_E11v1_S-6
7,S_paralias,Santos,308,Brazil,35.0,S-7,PREP0024_RAsprSUB09764A_H07v1_S-7
8,S_paralias,Harley et al.,17124,Brazil,4.66,S-8,PREP0023_RAsprSUB09764A_F02v1_S-8
9,S_paralias,Harley et al.,19324,Brazil,0.140,S-9,PREP0026_RAsprSUB09764A_E09v1_S-9
10,S_paralias,Irwin et al.,32560,Brazil,0.784,S-10,PREP0025_RAsprSUB09764A_D09v1_S-10
11,S_ciliatum,Hatschbach,44965,Brazil,35.2,S-11,PREP0024_RAsprSUB09764A_F10v1_S-11
12,S_ciliatum,Anderson,11656,Brazil,0.236,S-12,PREP0026_RAsprSUB09764A_A06v1_S-12
13,S_ciliatum,Krapovickas & Cristóbal,37737,Brazil,1.89,S-13,PREP0025_RAsprSUB09764A_F03v1_S-13
14,S_ciliatum,Hatschbach,35745,Brazil,5.94,S-14,PREP0023_RAsprSUB09764A_G10v1_S-14
15,S_ciliatum,Vincent,6222,Belize,25.0,S-15,PREP0024_RAsprSUB09764A_A11v1_S-15
16,S_ciliatum,Harley et al.,18016,Brazil,0.136,S-16,PREP0026_RAsprSUB09764A_H09v1_S-16
17,S_ciliatum,Clare,153,Honduras,0.304,S-17,PREP0026_RAsprSUB09764A_B03v1_S-17
18,S_ciliatum,Eiten & Eiten,7858,Brazil,0.0,S-18,PREP0026_RAsprSUB09764A_H12v1_S-18
19,S_ciliatum,Krapovickas & Cristóbal,40317,Brazil,12.3,S-19,PREP0024_RAsprSUB09764A_A09v1_S-19
20,S_ciliatum,Souza-Silva,11,Brazil,5.22,S-20,PREP0023_RAsprSUB09764A_G03v1_S-20
21,S_jatrophifolium,Zardini & Tilleria ,30774,Paraguay,too high,S-21,PREP0023_RAsprSUB09764A_A07v1_S-21
22,S_jatrophifolium,Zardini & Degen,4026,Paraguay,77.8,S-22,PREP0024_RAsprSUB09764A_A08v1_S-22
23,S_jatrophifolium,Krapovickas & Cristóbal,28978,Argentina,19.9,S-23,PREP0024_RAsprSUB09764A_G01v1_S-23
24,S_jatrophifolium,Vanni et al.,2944,Argentina,4.26,S-24,PREP0023_RAsprSUB09764A_D10v1_S-24
25,S_jatrophifolium,Anderson,12371,Argentina,86.4,S-25,PREP0024_RAsprSUB09764A_A12v1_S-25
26,S_jatrophifolium,Vanni et al.,3323,Argentina,76.8,S-26,PREP0024_RAsprSUB09764A_B12v1_S-26
27,S_jatrophifolium,Ortíz & Zardini,665,Paraguay,32.4,S-27,PREP0024_RAsprSUB09764A_H10v1_S-27
28,S_jatrophifolium,Troncoso et al.,1341,Argentina,11.6,S-28,PREP0023_RAsprSUB09764A_F12v1_S-28
29,S_jatrophifolium,Duarte,1719,Brazil,6.66,S-29,PREP0023_RAsprSUB09764A_E09v1_S-29
30,S_jatrophifolium,Zardini & Velásquez,10031,Paraguay,10.3,S-30,PREP0024_RAsprSUB09764A_D05v1_S-30
31,S_bonariense,Schinini & Cristóbal,13659,Argentina,4.98,S-31,PREP0023_RAsprSUB09764A_A09v1_S-31
32,S_bonariense,Hatschbach,51921,Brazil,66.4,S-32,PREP0024_RAsprSUB09764A_G12v1_S-32
33,S_bonariense,Quarinet et al.,2692,Argentina,0.932,S-33,PREP0025_RAsprSUB09764A_E08v1_S-33
34,S_bonariense,Landrum,3067,Argentina,0.412,S-34,PREP0025_RAsprSUB09764A_F12v1_S-34
35,S_bonariense,Belgrano et al.,293,Argentina,63.2,S-35,PREP0024_RAsprSUB09764A_C08v1_S-35
