sp	matK	rbcL	ndhF	trnL-F	ITS
2764@Byrsonima	2711@Byrsonima	2711@Byrsonima	2700@Byrsonima	2700@Byrsonima	2711@Byrsonima
3536@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis	3527@Banisteriopsis
C-280	C-86	C-86	C-86	C-86	C-69
C-86	C-313	C-17	C-17	C-313	C-69
C-342	C-136	C-136	C-136	C-21	C-21
1525@Christianella	3431@Christianella	777@Christianella	777@Christianella	FAIL	3431@Christianella
C-313	C-86	C-86	C-17	C-17	C-69
C-259	C-40	C-40	C-40	C-40	C-32
C-265	C-263	C-263	C-263	C-263	C-414
C-48	C-181	C-181	C-181	C-130	C-181
C-251	C-32	C-40	C-40	C-313	C-259
C-64	C-263	C-263	C-265	C-263	C-414
C-365	C-393	C-393	C-271	C-271	C-393
C-129	C-127	C-127	C-127	C-127	C-127
C-303	C-48	C-130	C-130	C-40	C-414
C-227	C-40	C-40	C-40	C-40	C-40
C-127	C-296	C-296	C-129	C-129	C-296
C-271	C-365	C-393	C-365	C-365	C-393
C-136	C-21	C-21	C-21	C-263	C-21
3419@Tetrapterys	3423@Tetrapterys	3676@Tetrapterys	3676@Tetrapterys	777@Christianella	1531@Amorimia
C-263	C-64	C-136	C-265	C-21	C-64
1503@Hiptage	2657@Hiptage	1314@Hiptage	2657@Hiptage	2657@Hiptage	1314@Hiptage
C-40	C-259	C-251	C-259	C-259	C-259
C-296	C-127	C-127	C-127	C-127	C-127
3545@Burdachia	3349@Burdachia	3349@Burdachia	FAIL	FAIL	3349@Burdachia
C-69	C-86	C-86	C-17	C-17	C-17
2095@Tetrapterys	3431@Christianella	777@Christianella	3431@Christianella	777@Christianella	3980@Heteropterys
C-130	C-48	C-303	C-303	C-181	C-414
C-17	C-86	C-86	C-313	C-69	C-69
C-32	C-40	C-251	C-40	C-40	C-259
1102@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	2650@Acridocarpus
C-181	C-48	C-48	C-48	C-365	C-48
C-21	C-136	C-136	C-136	C-342	C-136
1860@Bronwenia	3536@Banisteriopsis	1853@Bronwenia	S-60	1853@Bronwenia	1853@Bronwenia
2711@Byrsonima	2764@Byrsonima	2700@Byrsonima	2700@Byrsonima	3955@Byrsonima	2700@Byrsonima
3279@Heteropterys	3301@Heteropterys	3301@Heteropterys	3431@Christianella	3301@Heteropterys	3980@Heteropterys
1610@Malpighiodes	2100@Callaeum	3640@Malpighiodes	3431@Christianella	FAIL	1570@Malpighiodes
3966@Diacidia	3452@Diacidia	3452@Diacidia	682@Diacidia	3452@Diacidia	3357@Diacidia
3606@Diplopterys	S-59	777@Christianella	1860@Bronwenia	FAIL	1905@Diplopterys
C-239	C-387	C-387	C-387	C-387	C-387
C-387	C-500	C-239	C-500	C-239	C-239
2960@Banisteriopsis	1850@Banisteriopsis	3536@Banisteriopsis	1850@Banisteriopsis	FAIL	1850@Banisteriopsis
3338@Amorimia	1531@Amorimia	3518@Amorimia	3518@Amorimia	3518@Amorimia	1531@Amorimia
C-393	C-365	C-271	C-365	C-271	C-271
C-500	C-387	C-239	C-387	C-387	C-387
3970@Dicella	FAIL	1716@Dicella	1703@Callaeum	FAIL	1716@Dicella
170@Acridocarpus	1102@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	69@Acridocarpus	2650@Acridocarpus
2693@Byrsonima	2764@Byrsonima	2764@Byrsonima	2700@Byrsonima	FAIL	2711@Byrsonima
2311@Elatine	2909@Elatine	2906@Elatine	2272@Elatine	2906@Elatine	2272@Elatine
3676@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys	2942@Tetrapterys
3527@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	1850@Banisteriopsis
2700@Byrsonima	2764@Byrsonima	2764@Byrsonima	2693@Byrsonima	2764@Byrsonima	2711@Byrsonima
4004@Triaspis	1176@Triaspis	1176@Triaspis	1176@Triaspis	FAIL	1176@Triaspis
3980@Heteropterys	3301@Heteropterys	821@Mascagnia	679@Bunchosia	FAIL	3279@Heteropterys
3129@Bunchosia	1774@Bunchosia	679@Bunchosia	1774@Bunchosia	1770@Bunchosia	1774@Bunchosia
1770@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia
3341@Aspidopterys	3342@Aspidopterys	3231@Malpighia	3342@Aspidopterys	FAIL	3342@Aspidopterys
1716@Dicella	3301@Heteropterys	3970@Dicella	777@Christianella	FAIL	1705@Dicella
3955@Byrsonima	2764@Byrsonima	2764@Byrsonima	2700@Byrsonima	2700@Byrsonima	3536@Banisteriopsis
1705@Dicella	3600@Dicella	3600@Dicella	3600@Dicella	1165@Dicella	1165@Dicella
3234@Malpighia	3230@Malpighia	3230@Malpighia	3230@Malpighia	3386@Malpighia	3230@Malpighia
1915@Mascagnia	1089@Triaspis	2065@Mascagnia	821@Mascagnia	FAIL	743@Mascagnia
3935@Bunchosia	679@Bunchosia	2831@Bunchosia	2168@Bunchosia	1740@Thryallis	679@Bunchosia
3301@Heteropterys	3279@Heteropterys	3279@Heteropterys	3279@Heteropterys	3279@Heteropterys	3980@Heteropterys
3230@Malpighia	3234@Malpighia	3386@Malpighia	3234@Malpighia	3384@Malpighia	3234@Malpighia
2168@Bunchosia	679@Bunchosia	2831@Bunchosia	2831@Bunchosia	1770@Bunchosia	679@Bunchosia
3729@Thryallis	1740@Thryallis	3444@Thryallis	1740@Thryallis	FAIL	1740@Thryallis
2831@Bunchosia	679@Bunchosia	1770@Bunchosia	2168@Bunchosia	1774@Bunchosia	679@Bunchosia
1739@Thryallis	1740@Thryallis	1740@Thryallis	1740@Thryallis	FAIL	1740@Thryallis
1182@Tristellateia	3680@Tristellateia	3679@Tristellateia	3121@Tristellateia	3679@Tristellateia	3680@Tristellateia
1502@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia
1531@Amorimia	3518@Amorimia	1534@Amorimia	3338@Amorimia	3518@Amorimia	3518@Amorimia
777@Christianella	3431@Christianella	3431@Christianella	3431@Christianella	3431@Christianella	3431@Christianella
845@Heteropterys	FAIL	3220@Heteropterys	1703@Callaeum	FAIL	3980@Heteropterys
533@Heteropterys	2657@Hiptage	821@Mascagnia	3375@Hiptage	FAIL	3980@Heteropterys
3448@Acmanthera	3316@Acmanthera	3316@Acmanthera	654@Acmanthera	FAIL	654@Acmanthera
679@Bunchosia	2168@Bunchosia	1770@Bunchosia	2168@Bunchosia	1770@Bunchosia	FAIL
3211@Acridocarpus	176@Acridocarpus	69@Acridocarpus	168@Acridocarpus	69@Acridocarpus	2650@Acridocarpus
2763@Byrsonima	2764@Byrsonima	2764@Byrsonima	2711@Byrsonima	2700@Byrsonima	2711@Byrsonima
3231@Malpighia	3386@Malpighia	3230@Malpighia	3235@Malpighia	3386@Malpighia	3386@Malpighia
3316@Acmanthera	3448@Acmanthera	3448@Acmanthera	654@Acmanthera	FAIL	654@Acmanthera
3423@Tetrapterys	944@Tetrapterys	3676@Tetrapterys	3676@Tetrapterys	2942@Tetrapterys	3129@Tetrapterys
3349@Burdachia	3211@Acridocarpus	655@Burdachia	3211@Acridocarpus	3211@Acridocarpus	3545@Burdachia
1165@Dicella	3600@Dicella	777@Christianella	3600@Dicella	FAIL	3600@Dicella
2794@Byrsonima	FAIL	FAIL	FAIL	FAIL	2711@Byrsonima
3386@Malpighia	3231@Malpighia	3230@Malpighia	3231@Malpighia	3231@Malpighia	3231@Malpighia
3384@Malpighia	3386@Malpighia	3230@Malpighia	3234@Malpighia	3386@Malpighia	3230@Malpighia
3345@Blepharandra	710@Blepharandra	2798@Blepharandra	710@Blepharandra	FAIL	2711@Byrsonima
3679@Tristellateia	3680@Tristellateia	3680@Tristellateia	3680@Tristellateia	3680@Tristellateia	3680@Tristellateia
3342@Aspidopterys	3340@Aspidopterys	3340@Aspidopterys	3235@Malpighia	3341@Aspidopterys	3340@Aspidopterys
1661@Microsteira	1382@Microsteira	1382@Microsteira	1386@Microsteira	1386@Microsteira	1382@Microsteira
