sp	matK	rbcL	ndhF	trnL-F	ITS	Concatenated_phylogeny
2764@Byrsonima	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1678@Aspicarpa_sericea	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1089@Triaspis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1102@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	FAIL	Acridocarpus
1162@Camarea	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1165@Dicella	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1174@Triaspis	3122@Triaspis	4004@Triaspis	3340@Aspidopterys	FAIL	FAIL	Triaspis
1176@Triaspis	4004@Triaspis	4004@Triaspis	1915@Mascagnia	FAIL	4004@Triaspis	Triaspis
1182@Tristellateia	FAIL	FAIL	FAIL	FAIL	3680@Tristellateia	Tristellateia
1240@Diplopterys	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1285@Aspidopterys	FAIL	4004@Triaspis	FAIL	FAIL	FAIL	undetermined
1314@Hiptage	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1324@Microsteira	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1382@Microsteira	3518@Amorimia	3386@Malpighia	4004@Triaspis	FAIL	FAIL	Aspidopterys
1386@Microsteira	1382@Microsteira	1661@Microsteira	1661@Microsteira	3386@Malpighia	FAIL	Microsteira
1502@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	FAIL	Tristellateia
1503@Hiptage	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1525@Christianella	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1531@Amorimia	3518@Amorimia	1534@Amorimia	3338@Amorimia	FAIL	3518@Amorimia	Amorimia
1534@Amorimia	1531@Amorimia	3518@Amorimia	3518@Amorimia	FAIL	3518@Amorimia	Amorimia
1538@Carolus	1590@Carolus	644@Carolus	3431@Christianella	FAIL	1590@Carolus	Carolus
1540@Carolus	644@Carolus	644@Carolus	644@Carolus	FAIL	FAIL	Carolus
1543@Carolus	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1556@Malpighia	3234@Malpighia	3230@Malpighia	3384@Malpighia	FAIL	3230@Malpighia	Malpighia
1570@Malpighiodes	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1582@Galphimia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1590@Carolus	FAIL	FAIL	FAIL	FAIL	644@Carolus	Carolus
1610@Malpighiodes	FAIL	FAIL	FAIL	FAIL	1570@Malpighiodes	Malpighiodes
1653@Galphimia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1661@Microsteira	1386@Microsteira	270@Microsteira	270@Microsteira	1386@Microsteira	1382@Microsteira	Microsteira
1676@Aspicarpa	FAIL	FAIL	FAIL	FAIL	1678	Aspicarpa
1677@Aspicarpa	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1679@Callaeum	2100@Callaeum	3518@Amorimia	2100@Callaeum	FAIL	1702@Callaeum	Callaeum
168@Acridocarpus	1102@Acridocarpus	69@Acridocarpus	170@Acridocarpus	3211@Acridocarpus	2650@Acridocarpus	Acridocarpus
1699@Callaeum	2100@Callaeum	3518@Amorimia	2100@Callaeum	FAIL	1702@Callaeum	Callaeum
170@Acridocarpus	1102@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	69@Acridocarpus	FAIL	Acridocarpus
1702@Callaeum	2100@Callaeum	777@Christianella	3375@Hiptage	FAIL	1699@Callaeum	Callaeum
1703@Callaeum	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1705@Dicella	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1716@Dicella	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1717@Galphimia	2647@Galphimia	FAIL	2647@Galphimia	FAIL	FAIL	Galphimia
1739@Thryallis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
174@Triaspis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1740@Thryallis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
176@Acridocarpus	3211@Acridocarpus	69@Acridocarpus	3211@Acridocarpus	FAIL	2650@Acridocarpus	Acridocarpus
1770@Bunchosia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1774@Bunchosia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1845@Bronwenia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1850@Banisteriopsis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1853@Bronwenia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1860@Bronwenia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1874@Banisteriopsis	FAIL	FAIL	FAIL	FAIL	1946@Banisteriopsis	Banisteriopsis
1877@Bronwenia	FAIL	FAIL	FAIL	FAIL	1944@Bronwenia	Bronwenia
1905@Diplopterys	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1915@Mascagnia	3342@Aspidopterys	FAIL	FAIL	FAIL	743@Mascagnia	Mascagnia
1928@Diacidia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1936@Mascagnia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1939@Diplopterys	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1944@Bronwenia	FAIL	FAIL	FAIL	FAIL	1877@Bronwenia	Bronwenia
1946@Banisteriopsis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
2065@Mascagnia	3340@Aspidopterys	1936@Mascagnia	FAIL	FAIL	1936@Mascagnia	Mascagnia
2095@Tetrapterys	FAIL	FAIL	FAIL	FAIL	3980@Heteropterys	Tetrapterys
2100@Callaeum	1702@Callaeum	1699@Callaeum	1699@Callaeum	FAIL	1543@Carolus	Callaeum
2168@Bunchosia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
2207@Galphimia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
2272@Elatine	2909@Elatine	2909@Elatine	2909@Elatine	FAIL	2279@Elatine	Elatine
2279@Elatine	2909@Elatine	2906@Elatine	2909@Elatine	FAIL	2272@Elatine	Elatine
2311@Elatine	FAIL	FAIL	FAIL	FAIL	2272@Elatine	Elatine
2647@Galphimia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
2650@Acridocarpus	176@Acridocarpus	69@Acridocarpus	170@Acridocarpus	69@Acridocarpus	1102@Acridocarpus	Acridocarpus
2657@Hiptage	FAIL	FAIL	FAIL	FAIL	1314@Hiptage	Hiptage
2693@Byrsonima	FAIL	FAIL	FAIL	FAIL	2794@Byrsonima	Byrsonima
270@Microsteira	1382@Microsteira	3386@Malpighia	1661@Microsteira	FAIL	1382@Microsteira	Microsteira
