sp	matK	rbcL	ndhF	trnL-F	ITS
2764	FAIL	FAIL	FAIL	FAIL	FAIL	
3536	FAIL	FAIL	FAIL	FAIL	3527	
C-280	C-86	C-86	C-313	FAIL	C-69	
C-86	C-69	C-17	C-280	FAIL	C-69	
C-342	C-86	C-136	C-136	C-21	C-21	
1525	FAIL	FAIL	FAIL	FAIL	FAIL	
C-313	FAIL	C-64	C-69	FAIL	C-17	
C-259	C-40	C-40	C-40	FAIL	C-32	
C-265	C-86	C-263	C-263	FAIL	C-64	
C-48	FAIL	FAIL	FAIL	FAIL	C-181	
C-251	FAIL	FAIL	FAIL	FAIL	C-259	
C-64	C-263	C-263	C-263	FAIL	C-414	
C-365	FAIL	C-393	C-280	FAIL	C-393	
C-129	C-296	C-127	C-127	FAIL	C-127	
C-303	FAIL	C-64	C-32	FAIL	C-414	
C-227	FAIL	FAIL	FAIL	FAIL	C-259	
C-127	C-48	C-296	C-129	FAIL	C-296	
C-271	C-365	C-393	C-365	FAIL	C-393	
C-136	C-86	C-21	C-263	FAIL	C-21	
3419	3423	FAIL	777	FAIL	FAIL	
C-263	C-265	C-136	C-265	FAIL	C-64	
1503	FAIL	FAIL	FAIL	FAIL	FAIL	
C-40	C-32	C-251	C-259	FAIL	C-259	
C-296	C-127	C-127	C-129	C-127	C-127	
3545	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	C-313	C-86	C-280	C-313	C-17	
2095	FAIL	FAIL	FAIL	FAIL	3980	
C-130	C-313	C-303	C-303	FAIL	C-414	
C-17	C-86	C-86	C-313	FAIL	C-69	
C-32	FAIL	FAIL	FAIL	FAIL	C-259	
1102	69	69	69	69	FAIL	
C-181	FAIL	C-48	C-303	FAIL	C-48	
C-21	C-136	C-136	C-136	C-342	C-136	
1860	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	3955	2764	2763	FAIL	2700	
3279	3301	3301	1703	FAIL	3980	
1610	FAIL	FAIL	FAIL	FAIL	1570	
3966	3452	3452	682	FAIL	FAIL	
3606	FAIL	FAIL	FAIL	FAIL	1905	
C-239	C-313	C-387	C-387	FAIL	C-387	
