,2m,5m,10m,20m,50m,100m,200m
S-1,,14115,20647,43685,100194,136938,167659
S-2,,2128,18597,36519,90042,129782,137392
S-3,2720,7843,9033,17231,30918,61577,108900
S-4,,15124,13606,33480,81336,132947,139131
S-5,,,3573,15775,25651,40980,85112
S-6,,14270,15918,37389,86521,125885,139818
S-7,,14871,19414,34803,86537,134687,142487
S-8,,11354,14230,28102,78689,115889,136049
S-9,,9765,18230,42344,107864,127788,137919
S-10,,,12962,27737,60743,102152,141168
S-11,,,3417,19947,45096,86551,135744
S-12,,,,,,2135,3263
S-13, ,44469,74287,119124,137410,139624,166498
S-14,,,1365,22597,68170,120710,133841
S-15,,23022,25559,58234,125452,137252,166435
S-16,,,6584,14443,44738,88619,117135
S-17,,10483,19917,49557,117149,141837,165873
S-18,,,,2483,33090,50684,50684
S-19,,28327,34914,67837,135264,164973,166361
S-20,,22966,25578,64416,121626,141163,166678
S-21,,20187,23505,52637,111933,134744,140486
S-22,,4348,21288,40738,94350,133951,139442
S-23,2054,5062,6778,7948,6836,21511,31159
S-24,,4154,36336,79798,132961,166457,166337
S-25,,23497,26537,54548,120081,134680,161701
S-26,,4558,18603,48467,110302,134701,166196
S-27,,2249,31459,70027,135913,139804,166438
S-28,,2787,20631,49218,113356,135829,166258
S-29,,20326,36821,72322,136547,140503,168099
S-30,,4548,6242,6708,13787,21642,47769
S-31,1261,4409,4136,5944,6349,16009,26923
S-32,,,1572,15941,36110,82044,127048
S-33,,,,11653,39247,77851,117110
S-34,23898,71552,100361,126801,137447,165541,166066
S-35,,,2681,4696,25855,50734,93719
S-36,,15573,20788,50294,110146,135687,166735
S-37,,,1626,15644,36453,76367,125939
S-38,,,5857,15830,42579,92192,132674
S-39,,,744,864,24831,52921,94117
S-40,,1751,7315,18960,43574,102380,134800
S-41,,,1301,15448,37078,68061,126955
S-42,,24968,34793,84320,140274,166734,140410
S-43,,,14702,28219,80285,122430,140106
S-44,,2469,18004,29806,90213,127594,140764
S-45,,18540,29004,67186,135971,168419,166816
S-46,,2116,4044,25124,55264,114501,139054
S-47,,14229,24454,63570,136836,137227,166619
S-48,,44070,45520,79518,139890,142643,167742
S-49,,14089,17327,36408,83485,132109,166519
S-50,,2982,22370,42070,97441,139980,140044
S-51,12962,26583,41555,82628,135849,140438,166935
S-52,,,1800,7001,21871,28076,64729
S-53,,,24080,56854,117961,131848,166403
S-54,,,4516,8469,30691,71409,119737
S-55,9945,29530,34507,77131,123549,139082,166683
S-56,2340,17203,17120,6015,10774,21228,21228
S-57,,897,2268,4080,11990,26221,55502
S-58,,19469,18920,38575,103898,133327,165925
S-59,,36904,53348,93094,138123,166707,166393
S-60,,,1348,7373,39156,72932,125674
S-61,,15132,16953,45089,113177,137870,139693
S-62,,15760,26959,63191,122455,139021,139121
S-63,,,2500,6124,17539,26120,56037
S-64,,,1053,25137,73952,118719,164370
S-65,,,16851,35527,106274,137067,166263
S-66,,,12383,29020,77062,124078,139998
S-67,,7429,11219,23644,77777,134385,141575
S-68,,,,11073,28389,56714,102883
S-69,,,10868,21997,66604,109030,139761
S-70,,,,6847,25532,54273,96686
S-71,,1820,4722,6249,6672,18129,34377
S-72,,,16813,35999,90112,129373,137031
S-73,,,1392,28145,69523,110908,139415
S-74,,2623,2943,24073,57958,105584,134517
S-75,,,2839,4068,16463,30886,53556
S-76,,1731,3539,17836,39013,80715,117983
S-77,,,2297,4452,15456,23719,46003
S-78,,,,2555,6374,16108,21051
S-79,,2709,2107,23120,51635,96650,123371
S-80,4754,16006,33943,77342,119859,132632,138707
S-81,552,1878,12806,26022,65996,124496,136506
S-82,,17523,20273,51527,131287,165583,164839
S-83,1070,2757,5058,18888,43498,93967,122399
S-84,648,2957,10162,19673,39416,83071,127336
S-85,,,14540,28552,76553,124505,138725
S-86,,,2458,5292,30987,62145,104575
S-87,,26752,29771,73770,130772,139653,166278
S-88,,,18473,32556,94170,134705,140382
S-89,,,11147,24667,70169,121404,139803
S-90,,4122,5178,10833,23013,44079,82046
S-91,12339,25772,33017,81784,138741,166367,166863
S-92,,2924,11250,23548,65305,107159,123549
S-93,,,,,567,567,567
S-94,,,22320,56517,126886,141391,143609
S-95,,,12036,34707,89855,139767,140761
S-96,21991,54584,76630,114788,137084,141291,167868
S-97,,,10675,26202,75542,132233,140335
S-98,,,14169,30561,85358,138885,142805
S-99,,31615,34845,71045,129720,140719,170169
S-100,,1847,15577,29309,88485,135098,141347
