ID	rbcL	matK	trnL-F	ndhF	ITS
S-1	S-7	S-8	S-7	S-8	S-9
S-2	S-7	S-8	S-7	S-7	S-8
S-3	S-4	S-10	NO BLAST HIT	S-10	S-10
S-4	S-10	S-9	S-9	S-10	S-5
S-5	S-10	S-10	S-9	S-10	S-4
S-6	S-10	S-9	S-10	S-10	S-5
S-7	S-1	S-8	S-8	S-8	S-8
S-8	S-7	S-1	S-7	S-7	S-3
S-9	S-10	S-6	S-10	S-10	S-8
S-10	S-9	S-9	S-9	S-9	S-6
S-11	S-19	S-13	S-19	S-14	S-19
S-12	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-50
S-13	S-19	S-11	S-19	S-19	S-19
S-14	S-19	S-19	S-19	S-11	S-19
S-15	S-20	S-20	S-17	S-20	S-20
S-16	S-20	S-20	S-20	S-20	S-17
S-17	S-20	S-20	S-15	S-20	S-20
S-18	S-29	S-8	NO BLAST HIT	S-1	S-2
S-19	S-14	S-14	S-14	S-13	S-14
S-20	S-17	S-17	S-17	S-15	S-15
S-21	S-27	S-27	S-27	S-27	S-29
S-22	S-27	S-21	S-27	S-27	S-25
S-23	S-80	NO BLAST HIT	NO BLAST HIT	S-80	S-25
S-24	S-26	S-26	S-26	S-26	S-21
S-25	S-26	S-26	S-27	S-27	S-22
S-26	S-25	S-24	S-24	S-24	S-28
S-27	S-22	S-21	S-22	S-25	S-25
S-28	S-29	S-26	S-29	S-29	S-26
S-29	S-28	S-28	S-28	S-28	S-21
S-30	S-100	S-29	NO BLAST HIT	S-29	S-29
S-31	S-90	S-80	NO BLAST HIT	S-80	S-38
S-32	S-39	S-37	S-36	S-36	S-39
S-33	S-39	S-36	NO BLAST HIT	S-36	S-32
S-34	S-40	S-32	S-40	S-73	S-37
S-35	S-40	S-40	NO BLAST HIT	S-40	S-37
S-36	S-39	S-32	S-32	S-32	S-37
S-37	S-76	S-32	NO BLAST HIT	S-73	S-40
S-38	S-39	S-79	S-34	S-80	S-40
S-39	S-38	S-79	S-34	S-80	S-32
S-40	S-34	S-32	S-34	S-80	S-37
S-41	S-48	S-50	S-50	S-46	S-42
S-42	S-48	S-50	S-48	S-50	S-43
S-43	S-50	S-50	S-49	S-46	S-48
S-44	S-49	S-45	S-48	S-50	S-50
S-45	S-50	S-50	S-49	S-47	S-49
S-46	S-49	S-50	S-48	S-43	S-50
S-47	S-48	S-50	S-48	S-45	S-50
S-48	S-47	S-50	S-47	S-50	S-43
S-49	S-46	S-50	S-45	S-50	S-50
S-50	S-45	S-49	S-49	S-49	S-47
S-51	S-58	S-58	S-55	S-58	S-57
S-52	S-60	S-80	NO BLAST HIT	S-60	S-57
S-53	S-60	S-55	S-55	S-55	S-51
S-54	S-60	S-55	S-53	S-60	S-51
S-55	S-60	S-53	S-51	S-53	S-53
S-56	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-100
S-57	S-58	S-58	NO BLAST HIT	S-60	S-51
S-58	S-51	S-51	S-55	S-51	S-57
S-59	S-58	S-51	S-55	S-58	S-52
S-60	S-55	S-58	NO BLAST HIT	S-58	S-52
S-61	S-68	S-89	S-83	S-68	S-67
S-62	S-68	S-89	S-66	S-67	S-70
S-63	S-68	S-89	NO BLAST HIT	S-86	S-62
S-64	S-87	S-68	S-69	S-69	S-69
S-65	S-67	S-67	S-67	S-67	S-69
S-66	S-68	S-68	S-62	S-67	S-70
S-67	S-65	S-65	S-65	S-65	S-61
S-68	S-66	S-66	S-61	S-61	S-67
S-69	S-76	S-89	S-66	S-66	S-62
S-70	S-64	S-89	NO BLAST HIT	S-64	S-62
S-71	S-80	NO BLAST HIT	NO BLAST HIT	S-89	S-75
S-72	S-79	S-79	S-80	S-79	S-76
S-73	S-79	S-79	S-72	S-79	S-78
S-74	S-80	S-80	S-80	S-80	S-76
S-75	S-80	S-80	NO BLAST HIT	S-80	S-71
S-76	S-52	S-79	NO BLAST HIT	S-79	S-77
S-77	S-79	S-80	NO BLAST HIT	S-80	S-76
S-78	S-100	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-79
S-79	S-73	S-73	NO BLAST HIT	S-73	S-78
S-80	S-74	S-32	S-74	S-74	S-76
S-81	S-84	S-89	S-89	S-66	S-89
S-82	S-87	S-68	S-89	S-66	S-81
S-83	S-87	S-87	S-87	S-87	S-87
S-84	S-81	S-81	NO BLAST HIT	S-86	S-81
S-85	S-86	S-89	S-89	S-67	S-87
S-86	S-85	S-85	NO BLAST HIT	S-85	S-89
S-87	S-83	S-83	S-83	S-67	S-90
S-88	S-87	S-89	S-34	S-87	S-85
S-89	S-87	S-69	S-87	S-66	S-85
S-90	S-81	S-81	NO BLAST HIT	S-68	S-87
S-91	S-100	S-100	S-100	S-98	S-99
S-92	S-100	S-96	S-100	S-100	S-99
S-93	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-100
S-94	S-96	S-97	S-96	S-96	S-96
S-95	S-96	S-100	S-96	S-98	S-99
S-96	S-95	S-92	S-95	S-98	S-94
S-97	S-100	S-100	S-100	S-94	S-99
S-98	S-100	S-100	S-100	S-95	S-99
S-99	S-100	S-100	S-100	S-91	S-98
S-100	S-99	S-99	S-99	S-96	S-99
