ID	rbcL	matK	trnL-F	ndhF	ITS
S-1	T	T	T	T	T
S-2	T	T	T	T	T
S-3	F	T	NO BLAST HIT	T	T
S-4	T	T	NO BLAST HIT	T	T
S-5	T	T	NO BLAST HIT	T	T
S-6	T	T	T	T	T
S-7	T	T	T	T	T
S-8	T	T	T	T	T
S-9	T	T	NO BLAST HIT	T	T
S-10	T	T	NO BLAST HIT	T	T
S-11	T	T	NO BLAST HIT	T	T
S-12	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-13	T	T	T	T	T
S-14	T	T	NO BLAST HIT	T	T
S-15	T	T	T	T	T
S-16	T	T	NO BLAST HIT	T	F
S-17	T	T	T	T	T
S-18	F	F	NO BLAST HIT	F	F
S-19	T	T	T	T	T
S-20	T	T	T	T	T
S-21	T	T	T	T	T
S-22	T	T	T	T	T
S-23	F	NO BLAST HIT	NO BLAST HIT	T	T
S-24	T	T	T	T	T
S-25	T	T	F	T	T
S-26	T	T	T	T	T
S-27	T	T	T	T	T
S-28	T	T	T	T	T
S-29	T	T	T	T	T
S-30	NO BLAST HIT	F	NO BLAST HIT	F	T
S-31	F	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-32	T	F	NO BLAST HIT	F	T
S-33	F	T	NO BLAST HIT	F	T
S-34	T	T	F	F	T
S-35	F	T	NO BLAST HIT	F	T
S-36	T	T	T	F	T
S-37	F	F	NO BLAST HIT	F	T
S-38	T	T	NO BLAST HIT	T	T
S-39	T	F	NO BLAST HIT	F	T
S-40	T	F	T	F	T
S-41	F	T	NO BLAST HIT	T	T
S-42	T	T	T	T	T
S-43	T	T	T	T	T
S-44	T	T	NO BLAST HIT	T	T
S-45	T	T	T	T	T
S-46	T	T	T	T	T
S-47	T	T	T	T	T
S-48	T	T	T	T	T
S-49	T	T	T	T	T
S-50	T	T	T	T	T
S-51	T	T	T	T	T
S-52	T	NO BLAST HIT	NO BLAST HIT	F	T
S-53	T	T	NO BLAST HIT	T	T
S-54	T	T	NO BLAST HIT	F	T
S-55	T	T	T	T	T
S-56	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-57	NO BLAST HIT	T	NO BLAST HIT	NO BLAST HIT	T
S-58	T	T	T	T	T
S-59	T	T	T	T	T
S-60	T	T	NO BLAST HIT	T	T
S-61	T	T	F	T	T
S-62	T	T	F	T	T
S-63	F	F	NO BLAST HIT	F	T
S-64	T	F	T	F	T
S-65	F	T	T	T	T
S-66	T	F	T	T	T
S-67	F	T	T	T	T
S-68	F	F	NO BLAST HIT	T	T
S-69	T	F	NO BLAST HIT	F	T
S-70	F	F	NO BLAST HIT	F	T
S-71	F	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-72	T	T	T	F	T
S-73	T	T	NO BLAST HIT	T	T
S-74	T	T	NO BLAST HIT	T	T
S-75	T	NO BLAST HIT	NO BLAST HIT	T	T
S-76	T	T	NO BLAST HIT	T	T
S-77	F	T	NO BLAST HIT	T	T
S-78	T	NO BLAST HIT	NO BLAST HIT	F	T
S-79	T	T	NO BLAST HIT	T	T
S-80	T	T	F	F	T
S-81	T	T	T	T	T
S-82	T	F	T	F	T
S-83	T	T	NO BLAST HIT	T	T
S-84	T	T	NO BLAST HIT	F	T
S-85	T	T	T	F	T
S-86	T	T	NO BLAST HIT	T	T
S-87	F	F	T	F	T
S-88	T	F	F	F	T
S-89	T	F	T	F	T
S-90	F	NO BLAST HIT	NO BLAST HIT	T	T
S-91	T	T	T	T	T
S-92	T	T	NO BLAST HIT	T	T
S-93	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-94	T	T	T	T	T
S-95	T	T	T	T	T
S-96	T	T	T	T	T
S-97	T	T	NO BLAST HIT	T	T
S-98	T	T	T	T	T
S-99	T	T	T	T	T
S-100	T	T	T	T	T
