ID	rbcL	matK	trnL-F	ndhF	ITS
S-1	S-8	S-8	S-8	S-8	S-8
S-2	S-8	S-8	S-8	S-7	S-8
S-3	S-10	S-6	S-4	S-10	S-10
S-4	S-3	S-6	S-3	S-3	S-6
S-5	S-3	S-6	S-10	S-3	S-6
S-6	S-4	S-10	S-10	S-3	S-5
S-7	S-8	S-8	S-8	S-8	S-8
S-8	S-7	S-1	S-7	S-7	S-3
S-9	S-4	S-6	NO BLAST HIT	S-6	S-7
S-10	S-3	S-6	S-4	S-3	S-6
S-11	S-19	S-13	S-19	S-19	S-19
S-12	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-50
S-13	S-19	S-11	S-19	S-19	S-19
S-14	S-19	S-19	S-19	S-19	S-17
S-15	S-20	S-20	S-20	S-17	S-20
S-16	S-20	S-20	S-90	S-20	S-20
S-17	S-20	S-20	S-20	S-15	S-20
S-18	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-1
S-19	S-14	S-14	S-14	S-13	S-13
S-20	S-15	S-15	S-17	S-17	S-15
S-21	S-27	S-27	S-27	S-27	S-29
S-22	S-27	S-27	S-27	S-25	S-30
S-23	S-80	NO BLAST HIT	NO BLAST HIT	S-80	S-27
S-24	S-29	S-28	S-26	S-29	S-26
S-25	S-29	S-28	S-80	S-22	S-28
S-26	S-29	S-28	S-24	S-28	S-24
S-27	S-21	S-21	S-21	S-21	S-23
S-28	S-29	S-26	S-29	S-26	S-25
S-29	S-28	S-28	S-28	S-24	S-26
S-30	S-29	S-28	NO BLAST HIT	S-29	S-22
S-31	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-35
S-32	S-36	S-39	S-36	S-33	S-39
S-33	S-36	S-36	S-36	S-32	S-34
S-34	S-35	S-39	S-37	S-80	S-31
S-35	S-34	S-40	S-37	S-40	S-31
S-36	S-32	S-33	S-33	S-33	S-39
S-37	S-80	S-39	S-35	S-74	S-34
S-38	S-36	S-76	NO BLAST HIT	S-39	S-32
S-39	S-40	S-32	S-37	S-80	S-36
S-40	S-35	S-39	S-37	S-35	S-31
S-41	S-50	S-50	S-46	S-49	S-42
S-42	S-50	S-50	S-49	S-49	S-43
S-43	S-50	S-50	S-49	S-49	S-48
S-44	S-49	S-50	S-49	S-50	S-50
S-45	S-50	S-50	S-49	S-47	S-43
S-46	S-49	S-50	S-41	S-49	S-50
S-47	S-50	S-50	S-49	S-45	S-50
S-48	S-50	S-50	S-49	S-49	S-43
S-49	S-44	S-50	S-48	S-48	S-50
S-50	S-48	S-49	S-49	S-49	S-46
S-51	S-58	S-58	S-53	S-58	S-57
S-52	S-60	S-58	S-55	S-59	S-60
S-53	S-55	S-55	S-51	S-55	S-55
S-54	S-55	S-55	NO BLAST HIT	S-58	S-10
S-55	S-54	S-53	S-53	S-53	S-53
S-56	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-6	S-10
S-57	S-99	NO BLAST HIT	NO BLAST HIT	S-60	S-60
S-58	S-51	S-51	S-55	S-51	S-60
S-59	S-51	S-51	S-53	S-58	S-60
S-60	S-55	S-52	S-55	S-58	S-52
S-61	S-66	S-89	S-89	S-63	S-68
S-62	S-68	S-89	S-66	S-66	S-63
S-63	S-68	S-89	S-62	S-61	S-62
S-64	S-69	S-89	S-69	S-69	S-69
S-65	S-67	S-67	S-67	S-67	S-66
S-66	S-61	S-89	S-62	S-62	S-70
S-67	S-65	S-65	S-65	S-65	S-61
S-68	S-62	S-89	S-70	S-61	S-61
S-69	S-64	S-89	S-66	S-66	S-66
S-70	S-69	S-62	S-69	S-90	S-66
S-71	S-80	S-80	NO BLAST HIT	S-80	S-73
S-72	S-73	S-73	S-76	S-73	S-75
S-73	S-72	S-72	S-79	S-72	S-78
S-74	S-80	S-80	S-80	S-80	S-77
S-75	S-80	S-90	NO BLAST HIT	S-80	S-77
S-76	S-50	S-39	S-72	S-73	S-77
S-77	S-80	S-79	NO BLAST HIT	S-79	S-75
S-78	S-76	S-80	NO BLAST HIT	S-80	S-79
S-79	S-73	S-73	S-76	S-73	S-78
S-80	S-74	S-74	S-74	S-74	S-71
S-81	S-84	S-62	S-84	S-90	S-84
S-82	S-89	S-89	S-90	S-66	S-69
S-83	S-89	S-87	S-87	S-87	S-87
S-84	S-81	S-81	S-89	S-67	S-81
S-85	S-86	S-86	S-89	S-86	S-87
S-86	S-85	S-85	S-99	S-85	S-85
S-87	S-89	S-83	S-83	S-83	S-90
S-88	S-89	S-62	S-74	S-87	S-81
S-89	S-87	S-69	S-87	S-66	S-86
S-90	S-84	S-89	S-84	S-81	S-87
S-91	S-99	S-99	S-99	S-98	S-99
S-92	S-99	S-99	S-99	S-100	S-99
S-93	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-94	S-99	S-97	S-99	S-97	S-96
S-95	S-99	S-99	S-99	S-98	S-99
S-96	S-99	S-99	S-99	S-92	S-94
S-97	S-99	S-99	S-99	S-94	S-99
S-98	S-99	S-99	S-99	S-91	S-99
S-99	S-98	S-98	S-98	S-98	S-98
S-100	S-99	S-99	S-99	S-92	S-99
