sp	matK	rbcL	ndhF	trnL-F	ITS
2764	2711	2711	2700	2700	2711	
3536	3527	3527	3527	3527	3527	
C-280	C-86	C-86	C-86	C-86	C-69	
C-86	C-313	C-17	C-17	C-313	C-69	
C-342	C-136	C-136	C-136	C-21	C-21	
1525	3431	777	3431	FAIL	3431	
C-313	C-86	C-86	C-17	C-17	C-69	
C-259	C-40	C-40	C-40	C-40	C-32	
C-265	C-263	C-263	C-263	C-263	C-414	
C-48	C-181	C-181	C-181	C-130	C-181	
C-251	C-40	C-40	C-40	C-40	C-259	
C-64	C-263	C-263	C-265	C-263	C-414	
C-365	C-271	C-393	C-271	C-271	C-393	
C-129	C-127	C-127	C-127	C-127	C-127	
C-303	C-48	C-130	C-130	C-40	C-414	
C-227	C-40	C-40	C-40	C-40	C-40	
C-127	C-296	C-296	C-129	C-129	C-129	
C-271	C-365	C-393	C-365	C-365	C-393	
C-136	C-21	C-21	C-21	C-265	C-21	
3419	3423	3676	3676	777	1531	
C-263	C-64	C-136	C-265	C-21	C-64	
1503	2657	1314	2657	2657	1314	
C-40	C-259	C-259	C-259	C-259	C-259	
C-296	C-127	C-127	C-127	C-127	C-127	
3545	3349	3349	FAIL	FAIL	3349	
C-69	C-86	C-86	C-17	C-17	C-17	
2095	3431	777	3431	777	3980	
C-130	C-48	C-303	C-303	C-181	C-414	
C-17	C-86	C-86	C-313	C-69	C-69	
C-32	C-40	C-251	C-40	C-40	C-259	
1102	69	69	69	69	2650	
C-181	C-48	C-48	C-48	C-365	C-48	
C-21	C-136	C-136	C-136	C-342	C-136	
1860	1240	1845	S-51	1853	1853	
2711	2764	2700	2700	2700	2700	
3279	3301	3301	3431	3301	3980	
1610	2100	1702	3431	777	1570	
3966	3452	3452	682	3452	3357	
3606	1240	1860	1939	FAIL	1905	
C-239	C-387	C-387	C-500	C-387	C-387	
C-387	C-500	C-239	C-500	C-239	C-239	
2960	1850	1850	3536	1850	1850	
3338	1531	3518	3518	3518	1531	
C-393	C-365	C-365	C-365	C-271	C-271	
C-500	C-387	C-387	C-387	C-387	C-387	
3970	1716	1716	3431	FAIL	1716	
170	1102	69	2650	69	FAIL	
2693	2764	2764	2700	2700	2711	
2311	2909	2909	2272	2906	2272	
3676	2942	2942	2942	2942	2942	
3527	3536	3536	3536	3536	1850	
2700	2764	2764	2693	2764	2711	
4004	1176	1176	1176	1176	1176	
3980	3301	3279	3279	FAIL	3279	
3129	1774	1774	1774	1774	1774	
1770	1774	1774	1774	1774	1774	
3341	3342	3231	3342	3342	3342	
1716	2100	1679	1705	3431	1705	
3955	2764	2764	2700	2764	3536	
1705	3600	3600	3600	3600	1165	
3234	3230	3230	3230	3386	3230	
1915	743	2065	743	3386	743	
3935	679	2168	2168	3729	679	
3301	3279	3279	3279	3279	3980	
3230	3234	3386	3234	3384	3234	
2168	679	2831	2831	1774	679	
